id,sprache,text,cluster_wahr,sentiment_wahr,feature_request_wahr,severity_wahr,didaktischer_hinweis
F001,de,"Das Rad lässt sich per App einfach nicht entsperren, ich stand 10 Minuten dumm da.",unlock_issue,neg,0,3,Kernbeschwerde
F002,en,Can't unlock the bike through the app. Waited forever at the station.,unlock_issue,neg,0,3,Gleiche Beschwerde auf Englisch - Cross-Lingual-Test
F003,de,"Entsperren funktioniert nicht zuverlässig, jedes zweite Mal Fehlermeldung.",unlock_issue,neg,0,3,Near-Duplicate zu F001
F004,de,"Der QR-Code am Lenker wird nicht erkannt, egal wie ich das Handy halte.",unlock_issue,neg,0,2,"Gleiches Cluster, andere Ursache"
F005,de,Seit dem Update klappt das Entsperren endlich sofort. Danke!,unlock_issue,pos,0,1,Positiv im selben Cluster - Sentiment-Test
F006,de,Der neue Sperrmechanismus ist wirklich super gelöst.,unlock_issue,pos,0,1,KONTRASTPAAR A - siehe F007
F007,de,Der neue Sperrmechanismus ist wirklich schlecht gelöst.,unlock_issue,neg,0,3,"KONTRASTPAAR B - fast identischer Vektor, Gegenteil gemeint"
F008,de,"Die App stürzt jedes Mal ab, wenn ich ein Foto zum Abstellen hochlade.",app_crash,neg,0,3,Kernbeschwerde
F009,en,Crash every time I upload the parking photo. Android 15.,app_crash,neg,0,3,Cross-Lingual + Kontextinfo
F010,de,App friert beim Fotoupload ein und muss neu gestartet werden.,app_crash,neg,0,3,"Near-Duplicate, andere Worte"
F011,de,Nach dem letzten Update startet die App gar nicht mehr.,app_crash,neg,0,4,"Gleiches Cluster, hoehere Severity"
F012,en,"App is very slow to load the map, takes 15 seconds.",app_crash,neg,0,2,Performance vs. Crash - Abgrenzungsfall
F013,de,"Das Rad hatte kaum noch Akku, obwohl die App 80 Prozent angezeigt hat.",bike_defect,neg,0,3,Datenfehler als Defekt
F014,de,Sattel war lose und ließ sich nicht feststellen.,bike_defect,neg,0,2,Mechanik
F015,de,"Die Bremse hat auf der Fahrt komplett versagt, ich bin gestürzt.",safety,neg,0,4,SICHERHEITSKRITISCH - darf nie falsch eingeordnet werden
F016,en,Front brake failed while riding downhill. This is dangerous.,safety,neg,0,4,"Sicherheitskritisch, englisch"
